frame,move_nose,move_body,bp_sum,bp_mean,bp_min,bp_max,roll2s_mean,roll2s_sum,roll5s_mean,roll5s_sum,roll6s_mean,roll6s_sum,roll7_5s_mean,roll7_5s_sum,roll15s_mean,roll15s_sum,prob_sum,prob_mean,low_prob_01,low_prob_05,low_prob_075,rule_label
128,0.9456,0.6011,0.7189,0.716,1.7347,1.3195,1.0768,2.8611,2.4217,1.1106,1.487,0.2096,1.9984,1.0822,1.026,2.3667,1.3912,0.0663,0.1803,1.2324,0.9493,3
129,1.1858,1.611,0.3855,2.9094,1.5083,2.546,0.4597,0.6165,0.1125,1.7549,0.9895,2.8655,1.6136,2.3367,1.8487,2.786,0.2409,1.0257,1.9309,1.3074,0.5613,3
130,2.7379,2.4176,0.6698,0.2436,2.3806,0.8681,2.3148,1.5631,1.0379,2.0777,2.3022,0.2792,0.059,1.2065,1.0031,0.3179,0.6754,2.2218,2.5943,1.3889,2.7166,3
131,0.347,1.7099,0.6011,1.9121,2.8545,0.5779,0.5712,2.1637,1.7142,2.0473,2.0659,0.3767,2.9232,1.2928,2.3365,0.6832,0.5544,0.7319,2.3811,2.5959,0.3007,3
132,0.2585,0.3667,2.7223,0.7701,1.0228,2.5827,2.8028,2.4755,2.402,0.5376,2.8669,0.5982,0.0134,2.2067,2.1877,1.4327,0.6421,0.4737,2.4157,1.4182,2.317,3
133,1.6845,2.7275,1.2233,0.2823,0.2709,1.6077,0.5959,0.3114,2.9267,0.2665,2.8967,1.8295,2.7714,1.1922,0.5208,1.0289,2.4015,1.0823,1.1113,0.5558,1.941,3
134,2.8902,2.2401,0.3501,1.7083,1.0938,0.6874,0.9688,1.2178,1.6089,0.4275,1.7253,2.3863,1.4399,0.0789,2.3405,2.9743,0.9139,2.8372,2.8446,2.6368,0.1661,3
135,2.7218,1.6948,1.9144,0.6377,1.7983,2.3333,2.4043,2.6166,0.5777,1.8557,0.783,0.2007,2.9769,0.7912,2.8569,1.2087,2.055,1.6306,2.9747,0.4777,0.0446,3
136,2.1007,0.9985,1.3717,2.3592,0.7692,0.86,2.5084,1.8409,0.6869,0.5367,1.6905,1.0682,1.1784,2.6042,1.8987,1.9358,0.052,2.9482,1.0014,0.3842,0.7476,3
137,0.2003,1.7469,0.0872,1.3848,0.4642,2.1576,1.2048,0.4257,1.8326,2.7487,0.8949,1.1379,1.0242,0.9746,2.4557,0.0662,2.9914,2.9881,1.2996,0.9383,2.0609,3
138,2.4192,1.1746,2.9393,0.8093,0.636,1.9676,1.8283,1.2616,0.4419,2.0395,1.5608,2.8335,1.9102,1.8204,1.0879,2.7511,2.5837,1.6486,1.5171,0.2596,2.3262,3
139,2.0501,0.3561,2.8389,0.0354,2.5458,0.8767,2.8316,1.5054,2.5401,0.9049,2.2793,1.8478,2.2061,1.8189,0.2983,0.2777,1.2987,2.3329,1.9103,1.2938,1.102,3
140,0.4318,0.3664,0.7878,2.076,2.1419,1.9265,0.8727,0.0056,2.5268,1.8923,2.1715,1.3817,1.7463,2.3927,2.1525,2.0696,0.2168,1.5037,1.1131,0.9141,2.6359,1
141,1.3948,0.1359,2.499,1.9095,0.3768,1.467,0.8048,1.2628,2.1732,0.2195,1.376,1.1317,0.0877,1.1357,2.2463,1.0733,1.41,1.706,2.6317,2.692,0.3353,1
142,0.148,0.5111,1.3653,2.4156,0.8985,0.0888,0.3143,1.4225,2.9136,1.8141,0.9153,1.067,0.5211,2.0072,1.8737,0.6884,2.014,2.8183,2.9152,1.9351,2.3385,1
143,2.4056,0.7367,2.021,1.1496,0.8126,2.9342,2.0664,2.8879,1.3505,0.465,0.0886,0.7628,1.2203,1.1022,2.6537,2.3193,0.8961,2.5946,0.9114,1.3674,2.1209,1
144,2.1559,1.9059,1.9601,2.7447,0.3373,0.7825,2.0729,1.5539,2.8792,1.8972,2.5762,2.1231,0.9793,0.7734,0.4779,2.646,0.0077,2.2828,2.9371,2.5911,1.0257,1
145,2.4139,1.7405,2.1957,0.0708,2.517,1.1522,0.3682,1.5811,0.5993,0.837,2.4966,0.4778,1.9496,0.2214,1.5958,0.9981,0.9125,0.6005,2.909,1.4805,2.9591,1
146,2.2812,1.7716,1.3215,2.7565,0.8674,2.6414,2.1593,0.2294,0.7699,1.6599,1.8174,1.6407,2.8842,2.4465,0.3211,0.9867,1.8364,0.4486,1.4296,2.6444,1.0591,1
147,0.8018,2.466,0.4397,2.2941,1.6947,2.0704,0.864,0.1122,1.5943,2.1069,2.4255,2.3293,1.8786,0.2366,2.4252,0.5445,0.2597,2.1294,1.6039,1.8087,0.762,1
148,2.3692,0.2854,2.4129,0.3071,1.1471,0.5099,1.5338,1.3798,2.6639,0.6591,0.5813,1.5262,1.7368,1.1437,0.6613,1.0131,1.5371,0.3646,2.6129,1.532,1.9266,1
149,0.7475,1.1667,1.3213,2.9614,0.2104,1.9245,1.6852,1.8915,0.0283,0.1747,1.9782,1.3203,0.1825,1.9234,0.349,1.4484,2.3815,0.7245,1.6467,2.2088,1.6366,1
150,0.4137,0.2379,1.3262,0.2693,0.1092,0.0651,1.75,0.6543,2.5682,0.4264,0.8764,1.8991,0.8916,0.8138,2.4323,1.4088,1.9406,1.2341,2.5524,1.5157,0.5116,1
151,1.1712,1.2563,2.2778,2.2532,2.0839,2.2462,1.657,1.7199,1.119,2.5129,2.4645,0.1956,2.4182,1.5023,1.5197,0.4487,2.3359,0.8846,2.6687,0.3563,1.0523,1
152,1.4935,0.2364,2.0562,0.7331,1.8839,1.8141,1.198,0.286,2.5894,2.8552,1.201,0.2496,2.4665,2.4884,2.0013,0.4584,2.2752,1.2506,0.1045,0.9488,2.4434,1
153,0.8575,0.199,2.9669,2.073,1.4768,1.9875,2.1016,0.8222,2.5719,1.7295,1.4405,0.284,0.4908,2.2276,2.4424,1.7859,2.6096,2.2373,2.8445,0.5302,1.0186,1
154,1.8173,0.3128,1.1638,2.5111,0.5319,1.7031,0.6311,1.5648,2.6612,0.2526,1.0944,0.8712,2.0889,1.0362,2.2896,0.4454,1.2335,2.3818,0.7366,0.8967,2.3038,1
155,1.8075,1.1697,1.9046,0.3538,1.0215,1.0621,2.6088,0.9219,1.6914,1.7954,1.2821,1.2157,2.5632,2.713,2.9358,2.6424,2.0176,1.8782,0.2973,2.8771,1.7539,1
156,0.7195,2.2893,0.2513,0.9736,1.5209,1.9671,1.1638,1.3342,0.361,1.0148,2.6147,0.9428,2.7837,2.5915,2.474,2.5213,2.8907,1.6496,1.8889,0.829,2.3031,1
157,1.8677,0.8457,0.3377,2.6856,0.6476,1.3796,2.3188,2.138,0.9045,0.5191,2.919,1.0358,1.3909,2.4476,2.693,1.6158,2.0608,0.3782,0.32,0.5657,0.6898,1
158,1.0718,2.2254,0.7641,1.4324,1.7296,2.2467,1.8251,0.5354,1.0629,2.238,0.8037,2.0788,1.1904,0.6612,0.4827,0.5559,2.9978,0.1888,1.0943,1.5868,2.6282,1
159,2.2041,0.6999,0.8398,0.4592,2.5188,0.1051,1.3547,1.9669,1.95,2.5953,2.4066,2.3929,0.2099,1.1991,0.2128,1.9948,2.8496,0.0727,2.1048,1.0227,0.344,1
160,0.8713,0.8616,1.3386,0.2606,0.5332,0.7959,1.4271,2.8842,1.0182,1.6003,2.8721,2.1852,0.861,2.9905,2.6365,1.5522,1.07,0.9717,1.2922,2.9102,1.7504,1
161,2.3964,1.4143,0.6864,0.369,2.7932,0.4685,1.5752,2.475,1.4719,1.7222,1.5555,2.1131,0.2724,1.7731,1.287,1.2992,0.4055,1.6219,0.937,2.3527,2.8959,1
162,1.2453,0.2249,2.8084,0.3174,1.5233,1.5344,1.2556,1.1256,1.0836,2.8393,1.7965,0.1381,1.6143,0.7348,2.5261,2.1659,0.845,0.8443,0.6455,2.7112,0.4064,1
163,1.6597,1.3466,1.284,1.0706,2.9329,1.8633,1.6844,1.9163,1.863,0.0084,2.4686,1.0028,0.6543,1.3397,2.5998,0.8126,0.3457,2.2337,2.3567,0.7858,0.3353,1
164,2.02,1.7507,1.1471,2.3298,2.9033,0.6597,1.4295,0.3386,0.4585,2.5696,1.9862,1.2023,2.6485,1.0992,2.1408,1.7737,0.3006,1.0602,1.2829,0.6833,0.6063,1
165,1.5551,2.4737,2.7061,1.3588,0.1916,2.8384,2.5305,2.1651,1.1668,2.7877,1.6099,1.8681,0.521,1.7005,1.306,2.6261,1.293,1.898,1.6185,1.1434,0.0923,1
166,0.7729,0.1685,2.3871,0.295,2.0454,1.1118,0.7842,2.2442,2.6363,2.5456,2.6879,1.2977,0.1631,0.9448,2.0337,0.7985,2.8214,2.4442,0.331,2.0632,2.0507,1
167,2.9381,2.3997,2.3105,1.0578,0.7299,0.0418,2.2578,0.6633,0.8574,1.653,1.6801,1.7806,2.7171,2.8412,1.646,0.0436,2.8036,1.8243,0.5713,0.5334,1.5709,1
168,0.2882,1.709,2.7423,1.4511,1.8627,2.179,1.2347,1.1397,1.461,2.6732,2.3602,2.3659,1.8231,1.494,2.1276,1.7838,1.9398,0.4744,0.3349,2.1809,0.7931,1
169,0.9748,1.735,2.2097,1.3446,2.6687,0.3357,2.5546,1.8143,2.3332,1.4898,2.7479,1.7242,1.8127,1.4708,0.2184,0.7442,2.9296,2.454,2.6007,1.5289,2.1307,1
170,1.6473,0.1533,0.9168,1.9238,1.3746,0.0439,2.4839,1.9742,2.0815,1.1031,0.9538,0.7004,1.9538,0.0953,0.9339,0.226,0.872,0.9515,2.2822,1.5763,1.5316,1
171,0.0861,2.6396,2.884,2.0418,1.9587,0.8675,0.2253,1.8608,1.3992,1.4945,2.5006,2.7259,0.1657,0.6951,1.5992,0.9782,0.4706,2.8684,2.4922,2.3042,0.8618,1
172,0.4647,0.832,0.0814,2.2433,2.0035,1.4071,2.7819,2.246,0.2215,0.1295,0.5648,2.5581,0.2159,0.6125,1.8561,1.3236,2.7329,1.8874,2.9746,0.8156,0.6275,1
173,2.3978,1.6394,2.6913,1.6076,0.5633,0.7223,2.437,2.5519,2.6018,0.0902,1.6241,1.4319,0.957,1.2574,0.955,0.894,2.6524,2.899,2.2226,2.2757,0.9154,1
174,2.3514,1.6159,1.2582,0.0898,1.2771,0.9918,1.967,1.4087,2.7599,1.5561,1.9652,2.2343,1.3143,0.2009,0.9667,1.39,0.8761,2.2107,2.4466,0.2899,2.5592,1
175,1.9109,2.7302,1.013,2.3089,0.8734,0.3946,0.5757,0.0453,2.3727,1.769,2.5736,0.204,1.5102,0.9107,0.2353,2.7159,2.2173,1.3535,2.5438,2.7956,2.9937,1
176,2.7054,1.8042,1.4237,2.3494,1.4486,1.0707,2.4974,2.4186,2.2967,0.2081,0.9477,1.8033,2.1902,2.5145,2.6766,1.0969,0.4304,0.8024,2.346,2.6516,1.1002,1
177,2.2666,2.9741,1.1994,2.1882,2.2877,2.3881,1.7744,0.328,2.654,2.2905,2.9085,1.7841,1.7708,1.4983,2.7389,0.7281,2.8153,2.2553,2.8269,2.4366,1.8289,1
178,0.8964,0.6964,2.5813,1.3127,0.435,0.9332,0.6954,1.5902,2.6211,0.4504,2.2531,2.8052,1.4546,2.6997,0.7636,0.2991,0.8516,1.186,2.6319,0.7917,2.2636,1
179,1.9346,1.9865,2.4183,2.6607,1.6594,1.7452,1.9193,2.1409,1.4241,0.6395,2.7686,2.16,2.3617,1.2199,0.8288,0.0943,0.5793,0.9635,1.2302,1.588,0.7743,1
180,1.0202,1.7305,2.24,0.289,1.5124,0.6305,0.3598,2.4218,1.176,1.4281,0.7661,0.0531,1.6554,1.7502,0.3499,2.5676,2.9402,1.8963,2.9708,2.8474,2.0407,1
181,2.2495,1.5406,0.6981,2.2205,1.1549,0.3739,2.0976,1.5912,1.3666,2.3233,1.641,1.4784,0.1706,2.5888,2.0725,2.2175,0.1469,0.0811,2.7453,2.0039,1.3443,1
182,1.1544,1.8829,1.3197,1.7889,2.5251,0.9539,0.5784,1.899,0.4008,1.466,1.3573,2.8556,1.5102,1.1012,1.9286,0.6844,0.7124,1.5051,1.4927,2.9329,2.7515,1
183,0.4597,1.6518,0.2251,2.1004,1.0508,0.0997,0.9173,2.8936,0.576,2.7012,2.8841,0.4055,1.0932,1.4045,1.1453,1.1277,2.9994,1.8243,2.2181,0.3541,0.4715,1
184,2.6294,1.0105,2.2275,0.2018,2.3997,1.4207,0.0689,2.3105,2.0649,2.2733,2.4383,1.9781,1.0918,1.2486,2.3796,2.87,1.3657,2.4109,2.5876,0.3784,0.2722,1
185,2.0712,1.9247,0.1265,2.9044,0.2121,2.1156,1.1201,0.8527,2.213,1.6854,0.4936,1.081,0.6095,1.5842,2.4355,1.0247,1.1602,1.0445,2.6796,0.0483,0.1347,1
186,2.234,0.2502,1.1878,0.0907,1.318,1.2649,1.8194,2.8043,2.078,2.6075,2.7323,1.2368,2.105,0.826,0.1735,0.4299,1.8131,2.1025,1.1882,1.8839,1.2872,1
187,1.6788,1.4371,0.4533,0.5306,0.3268,0.6768,1.9686,2.0343,1.7367,1.0403,1.0861,2.7395,0.6547,2.1643,0.1636,1.8837,0.1223,1.0485,0.4195,2.4913,1.2925,1
188,2.3488,1.3585,2.5562,1.5499,2.5403,0.9736,1.2482,0.9065,0.4644,1.7384,1.4198,2.4912,0.3829,0.6541,2.0009,2.9408,0.073,0.0319,2.0217,0.7531,0.5699,1
189,1.3436,0.6397,2.7556,1.7187,1.9936,2.4584,0.8401,0.8282,1.1331,1.9319,0.1641,1.0561,1.9674,0.1993,0.9631,1.2292,1.1635,1.7975,1.8023,2.4979,2.4161,1
190,1.6974,1.7043,0.8685,0.5338,0.6373,0.7235,0.2857,1.3288,2.8528,0.2734,1.5318,2.0171,2.4038,0.3794,2.6434,2.4668,2.7158,1.103,1.6774,1.2315,2.2698,1
191,0.1877,2.0098,2.6172,0.8623,1.1171,0.9944,1.0685,1.5285,2.8579,0.7894,2.7169,0.8171,2.731,0.47,0.5299,2.1948,2.6803,1.5532,2.041,1.6623,2.053,1
192,1.6652,0.375,0.5341,2.7454,0.3816,2.0608,2.3453,2.5348,0.8849,2.9457,1.3904,1.659,0.6758,1.4885,0.9584,1.8778,2.5016,0.9226,1.7787,0.5859,1.9743,1
193,2.4438,0.8909,2.1334,0.964,2.6551,0.7477,2.7997,1.37,1.1234,0.9168,0.0975,0.5515,0.0156,2.3198,0.3662,0.6571,2.5702,2.2021,1.8078,0.0794,2.0877,1
194,2.1166,0.1861,0.752,1.3356,2.6783,2.7894,2.7621,2.1335,0.5539,2.7282,2.5308,2.3469,1.609,1.2715,2.5646,0.347,1.3534,0.7066,1.9702,1.6009,2.3393,1
195,2.4095,1.7915,1.3366,0.3345,2.6772,0.5186,0.253,1.0052,1.0774,0.1519,1.4104,0.415,2.9446,0.4946,2.6454,2.1131,2.2716,2.1909,2.6074,0.9252,1.4029,1
196,1.4883,0.2451,1.833,1.7068,1.8168,0.0737,0.3833,1.4072,1.3431,0.7496,0.3047,0.2088,0.703,0.3181,1.9015,1.9988,1.9253,1.6285,0.0729,2.9612,0.705,1
197,2.644,0.6882,1.0534,2.1028,0.7934,1.2805,1.104,0.9729,0.8468,0.6953,2.0917,0.0562,1.0517,2.3014,2.9477,2.756,0.5346,2.4676,0.1863,2.4186,0.4252,1
198,0.3249,1.3436,0.5935,2.2226,1.3678,1.6209,1.6768,1.1766,2.7209,0.0062,0.5546,2.4809,2.692,1.1791,2.097,0.5371,0.1881,0.7377,0.8193,2.9437,0.9721,1
199,2.6271,1.3552,1.7636,0.6978,1.9945,1.7083,0.1507,2.0977,0.2309,2.1733,1.8305,2.0639,1.9763,0.0726,0.6391,0.6813,2.1384,0.621,0.9888,0.7388,1.6209,1
200,1.1138,0.099,2.3819,1.1077,1.2762,0.9706,0.2686,0.6951,1.3159,0.7011,1.2572,1.9863,1.8147,2.0676,1.0752,2.8073,1.32,0.0217,0.4616,2.3357,2.9112,3
201,0.2729,2.842,2.9874,1.9632,0.1738,2.3411,2.475,1.4684,0.2101,1.7562,0.7443,2.739,2.1961,2.4588,2.5777,1.1028,2.6951,0.4391,0.9518,2.9359,2.5674,3
202,1.858,0.6901,0.9669,2.9189,1.5751,2.5347,2.9896,2.2259,1.0776,0.2876,1.3023,2.1104,0.489,2.8624,0.9484,2.0934,2.9301,2.6199,1.1567,0.6319,1.603,3
203,1.3647,1.8299,0.7729,2.3094,0.2628,1.4628,1.3145,0.0306,2.2903,1.7206,0.8961,0.1208,1.3684,2.6003,0.9313,2.6833,1.4667,2.9231,1.9045,1.0399,0.2129,3
204,1.2851,0.6666,0.2293,0.6577,0.7053,2.4596,2.3782,1.2265,0.3023,1.4852,1.4107,0.2121,0.6467,0.0946,2.1462,1.6169,0.3174,0.3633,1.3649,1.8086,0.435,3
205,2.5561,1.7873,0.6141,0.1965,2.4511,2.414,2.1076,2.318,1.7385,1.4141,1.7544,0.1578,1.8138,2.0498,2.5306,0.0177,0.9913,0.8244,2.0945,2.4891,0.6834,3
206,0.4134,1.0582,0.0778,0.9844,1.8413,0.5356,2.3062,1.9691,1.7172,2.3671,1.514,0.3201,1.9412,1.7206,2.7811,2.4632,1.3756,1.4166,0.8277,0.1554,0.3913,3
207,1.8508,0.9558,0.7491,1.588,2.391,0.4209,1.2628,2.4448,1.7059,1.0532,0.1665,0.329,1.5573,1.1438,2.0133,2.8787,0.7438,1.6003,0.8002,1.2594,1.1511,3
208,1.2413,1.4232,2.178,0.8161,2.0375,0.3961,2.7874,0.7712,1.5071,2.146,1.7119,0.7701,2.2616,0.3375,0.3488,2.0757,1.2045,2.2718,0.3813,0.5029,2.061,3
209,1.5848,1.759,0.3441,2.3697,1.9731,0.2583,0.37,1.8434,1.8557,2.4204,2.8361,0.9542,0.4591,0.4336,0.5756,0.8792,2.0092,1.4485,0.9975,1.2447,0.0784,3
210,1.4982,1.7946,1.939,0.7696,0.7417,2.3309,0.7987,0.9245,0.7925,0.7309,2.5593,1.6652,1.4024,2.3345,2.4463,1.3167,2.2253,0.0728,2.9445,0.2553,0.654,3
211,0.4024,2.0655,0.8847,0.3717,2.1246,1.1454,1.9072,0.2532,0.7929,0.8914,1.2675,1.3942,0.0279,0.9629,0.9693,1.0284,2.101,1.7523,0.9477,2.7277,2.7302,3
212,1.536,0.8058,0.6866,1.8073,0.3788,0.4246,0.7488,2.358,2.3279,1.8369,2.3158,2.2102,0.7145,1.9039,2.2797,0.5595,0.4183,0.376,2.1753,0.59,1.4714,3
213,2.5863,0.2748,1.4508,2.2804,0.0546,1.6472,2.5163,0.8964,0.523,0.5483,0.5097,1.2398,0.2987,1.7371,0.2824,1.5803,2.8816,0.9562,1.4023,2.8825,1.5734,3
214,0.5137,0.7601,1.3087,0.6149,1.0173,0.8891,2.4647,2.1987,2.4714,0.0153,2.1304,2.976,0.8945,2.1684,1.1927,2.5649,1.3585,0.9685,2.319,2.2436,1.7417,3
215,0.0344,0.9801,1.3404,1.0014,0.47,0.1428,2.3671,2.3133,2.6929,1.8238,0.5319,2.1598,2.7106,2.1278,2.2396,1.7129,0.0684,2.1276,0.8258,2.8733,1.9906,3
216,0.2027,1.8221,0.3528,0.7794,2.085,1.244,2.6346,2.4178,1.7079,2.1115,0.2406,0.0028,2.7251,1.1428,2.0405,2.4021,2.4529,1.6838,1.2628,0.617,0.6818,3
217,1.3794,1.2432,1.6938,0.0863,0.857,2.4785,1.9068,0.87,0.8405,0.3206,1.9882,1.2538,0.8675,0.4497,2.3338,1.4589,0.8971,2.1757,0.0163,0.6719,2.0358,3
218,2.9234,0.9338,2.7063,2.0483,0.1038,2.1147,0.5467,2.4051,1.3102,1.7106,1.0676,0.894,1.6605,1.5306,2.2629,0.2773,2.9836,2.4729,1.873,1.4754,0.2854,3
219,0.1327,0.295,0.0279,0.1525,2.3267,2.9568,0.9867,0.733,1.5352,1.4235,1.5484,2.3314,0.8223,0.7747,1.9104,0.4038,0.4538,1.5469,0.3854,0.7541,2.3808,3
220,2.9728,1.7899,0.243,1.8358,2.8048,1.4235,0.0129,1.9939,2.0906,1.5316,0.1498,0.1784,0.7306,2.2358,2.9119,0.2187,2.653,0.7994,1.3924,2.1307,2.3506,3
221,1.6082,0.3299,1.7579,1.8814,2.1329,2.8896,1.1865,0.0259,2.8187,2.8092,0.6815,2.6208,1.4426,1.6871,1.8963,2.2442,2.2416,1.6247,0.333,0.1914,0.9675,3
222,0.3604,1.5507,0.9557,1.5905,2.8656,1.1473,1.9076,2.3562,1.2804,0.1298,0.2279,1.8541,2.803,1.754,0.8689,1.2249,0.2275,2.8979,2.1816,0.4289,2.2881,3
223,1.2556,2.0651,0.7557,0.1274,2.3492,1.4689,2.0903,0.189,0.616,0.5536,2.7833,2.6248,2.7239,2.2069,1.999,0.9845,2.0945,2.44,2.3361,2.7842,0.4098,3
224,0.6221,1.8693,2.9639,0.1121,2.7882,2.2379,2.1434,2.1548,0.9271,0.2473,0.3468,0.9942,2.6747,2.1503,1.2456,2.7756,0.2507,0.1845,2.6677,0.7375,2.5927,3
225,2.1425,0.4792,0.9246,1.5451,2.019,1.3755,0.7788,1.8977,2.847,1.8583,2.7617,2.7609,2.791,1.43,1.048,1.6707,0.3479,2.6186,2.4147,2.6151,1.4494,3
226,1.6245,1.0679,2.7626,1.4718,2.3543,0.5012,2.7708,0.1881,0.6369,2.5849,0.208,0.185,2.5571,2.4543,2.2053,1.4925,0.9375,1.0695,0.0282,2.4625,1.4124,3
227,0.8639,2.8228,1.8505,0.0464,2.3861,2.1306,1.6336,1.7489,0.7581,1.6122,0.6063,2.1578,0.4582,2.3077,2.0357,0.2314,2.1358,2.6855,2.297,2.2855,0.5587,3
228,0.7663,0.2723,0.0909,0.0323,0.3501,2.7484,0.6223,2.1188,0.096,0.0955,2.1308,0.331,0.0505,2.3669,0.1706,2.4352,1.3778,2.1438,0.8605,2.8199,2.3827,3
229,2.6009,2.0363,0.7977,2.3201,0.9598,1.0692,2.8106,2.4228,1.8371,1.5096,1.8966,2.7129,0.9676,0.2806,2.8034,0.3459,0.2205,0.3324,0.7846,1.679,1.4602,3
230,2.2987,1.3092,0.2272,0.9734,1.8502,1.2477,2.0172,2.944,1.4149,0.3302,0.1518,0.926,0.1783,2.3566,0.2561,1.9663,2.6929,1.9026,0.5825,0.0658,0.8359,3
231,1.3086,1.8405,1.6138,2.1508,0.9644,0.9269,2.0483,0.7193,2.4739,0.2598,0.9983,1.8435,0.6997,1.6735,2.1688,1.005,1.0283,1.8953,1.0205,0.9085,0.6261,3
232,1.2165,1.1812,2.725,0.5958,2.6186,2.0662,1.8226,1.2773,1.9249,0.9106,0.3862,0.9112,0.5738,1.4041,0.8067,1.2115,0.3055,0.8496,0.7795,1.1768,1.746,3
233,2.2124,0.3714,0.1579,0.7969,0.1628,1.477,0.0041,1.1004,1.9591,2.554,1.0119,1.9298,1.5129,2.309,1.7846,2.206,1.1799,1.9517,0.2545,0.9019,0.1498,3
234,2.9122,1.6872,0.0841,2.6946,0.384,0.6896,1.6551,1.9865,2.0537,2.0875,1.0734,1.3697,2.7944,2.6374,1.7631,2.4293,2.5802,0.0442,1.9903,1.4729,1.1197,3
235,0.2388,0.0183,0.088,0.5932,0.9833,2.6954,2.1653,0.5696,1.3737,2.9542,1.6147,0.763,2.0504,2.4597,1.2251,0.2906,1.6141,1.462,1.9903,2.5829,0.1831,3
236,0.4773,2.5921,0.819,1.2248,1.0285,0.0429,1.9974,1.6788,0.8899,1.4462,2.2503,0.2202,2.0681,0.1552,2.1897,1.9973,2.5684,1.9658,2.2954,1.4636,2.6266,3
237,1.087,2.3962,0.4986,1.4959,2.498,2.5046,0.6459,0.7152,0.0559,0.5585,0.0957,2.7535,1.3945,2.6414,2.6964,1.6416,2.5464,0.3561,1.1534,2.6685,1.1578,3
238,1.5231,1.1213,2.9048,2.1357,0.0449,2.5925,1.4241,0.6241,1.1902,1.0895,2.0304,1.4111,2.5619,0.5169,1.6462,1.6496,2.1087,2.4394,1.1324,0.0705,0.2147,3
239,0.2142,1.6121,2.3251,0.9623,2.4815,0.2832,2.1711,2.2628,0.038,0.2533,2.7901,1.061,2.0036,1.6528,0.4003,0.7846,0.3377,2.4008,2.5162,0.0731,1.5332,3
240,0.1605,1.5825,2.8178,1.9479,2.9174,0.0508,2.7056,1.6451,0.6404,1.2007,1.0053,2.3047,2.914,2.7581,1.679,2.1933,0.7739,2.701,2.793,1.353,0.695,3
241,0.6584,2.939,1.7396,0.6667,0.1487,1.9404,0.6893,2.3356,1.1302,1.8084,1.9859,2.1139,0.1662,0.6423,2.818,2.7296,0.5355,2.9352,0.3555,1.5409,1.7949,3
242,1.1579,0.1312,2.4632,2.044,2.8556,1.75,1.7184,1.9879,1.5664,1.9692,1.3423,2.4674,1.0394,2.0312,1.1692,1.6695,1.6231,0.8756,2.2677,0.706,2.4276,3
243,2.2178,0.8931,2.1266,0.0637,1.9809,0.5176,0.2064,2.5521,1.1413,2.9102,0.8855,2.2915,1.9435,1.0006,0.0191,0.1783,0.6347,0.219,2.539,0.9479,1.7147,3
244,1.8297,1.2211,0.8763,0.5604,0.3958,1.2983,0.5267,1.4287,0.6465,1.1349,1.5964,2.6534,1.0101,0.4875,1.2753,2.8241,0.6062,0.2933,1.5858,2.7431,2.5156,3
245,0.0876,2.3622,1.958,0.183,2.4939,0.2886,1.1378,0.038,2.2595,0.2625,0.1758,2.3613,1.1419,2.5772,0.7825,2.2109,1.6291,0.2582,2.2464,2.6991,1.8015,3
246,0.135,2.19,0.8678,0.3061,0.3576,1.241,0.0509,2.9993,0.9519,2.59,2.0371,1.9137,1.1167,2.3828,1.6612,0.502,1.3909,0.798,2.3102,0.4569,2.3971,3
247,1.3561,1.2701,1.3927,2.2446,1.1522,1.5755,1.0632,0.6889,1.0614,0.5243,1.615,2.3376,2.4571,2.7411,0.4579,1.2134,1.5927,1.2709,2.853,2.8904,1.1881,3
248,2.6246,0.0351,2.4681,1.3922,0.7158,2.6839,2.6124,2.471,0.6698,0.9745,0.7956,2.7323,0.6653,0.1899,2.9064,2.2172,2.0306,1.0519,2.6189,1.7178,2.0736,3
249,2.745,1.9438,0.6621,2.3499,1.1531,1.125,0.9068,0.5979,0.2121,0.4298,0.0946,0.5158,2.1981,0.6068,2.5656,1.8759,2.4549,2.7724,2.566,1.7064,0.9752,3
250,1.0953,1.2203,0.5247,2.925,0.4371,0.4757,0.4527,1.5318,2.2661,2.1306,2.7915,1.1817,0.6142,0.2328,0.1314,1.0118,0.3798,2.3376,2.1043,0.2686,2.1892,3
251,2.6621,0.3504,2.5547,0.5583,1.1367,2.8541,0.3128,0.8661,1.3646,2.6486,1.9638,1.3981,1.884,0.2149,2.8263,1.4099,1.4662,0.3265,1.0393,0.3427,2.614,3
252,2.7874,1.893,1.3896,2.3068,1.7065,1.9114,1.6567,1.971,1.6589,0.6326,0.1359,2.0507,1.7259,1.4751,0.2139,2.7292,0.7175,0.123,0.3191,0.2745,0.8807,3
253,1.2198,1.3347,0.5215,2.9157,1.3927,0.4044,1.2071,0.238,2.616,1.7379,2.3673,0.6598,0.5713,2.467,0.027,2.0536,2.8458,1.6314,1.3418,0.897,1.4572,3
254,2.2382,0.9192,0.9535,0.9281,1.5647,0.1801,1.8786,0.2162,2.6474,0.0733,0.3285,1.6687,1.8021,2.4581,2.4769,1.9997,2.719,2.3732,0.6873,1.2724,1.2946,3
255,1.096,0.8074,0.8417,0.2316,2.6798,1.143,1.2059,1.3848,1.7368,2.0556,1.3713,1.1542,0.4699,0.0312,0.08,1.2885,1.011,0.3239,0.8698,1.3508,0.4207,3
256,0.4607,1.5625,2.6887,1.3853,2.5548,0.7269,1.5812,2.547,2.8388,0.4346,0.3604,0.4926,1.6937,0.9641,2.0278,0.0949,2.9595,2.3113,0.8744,2.9825,1.0259,3
